TAXON	COD_TAXON
Agrostis	12060
Agrostis canina subsp. granatensis	12061
Agrostis nevadensis	12074
Anthericum baeticum	12412
Arenaria serpyllifolia	6459
Arenaria tetraquetra	6461
Boraginaceae	1860
Botrychium lunaria	103346
Bromus	12160
Campanula herminii	10176
Carex	11634
Carex capillaris	106346
Carex caryophyllea	11641
Carex echinata	104418
Carex lepidocarpa	11673
Carex leporina	11674
Carex nevadensis	11680
Carex nigra	11681
Cerastium	6518
Cerastium alpinum subsp. aquaticum	6520
Cerastium cerastoides	6532
Cirsium acaule subsp. gregarium	11032
Dactylis glomerata subsp. juncinella	11879
Draba lutescens	7443
Eleocharis quinqueflora	11597
Epilobium	8586
Erophila verna	7446
Eryngium	8910
Eryngium glaciale	8919
Euphrasia willkommii	104449
Festuca	11740
Festuca frigida	11764
Festuca iberica	11772
Gagea	12455
Galium	10252
Galium nevadense	10277
Gentiana	9233
Gentiana alpina	9234
Gentiana boryi	9235
Gentiana pneumonanthe subsp. depressa	104837
Gentiana sierrae	9240
Gentianella tenella	104838
Herniaria boissieri	29541
Juncus	11510
Juncus articulatus	11518
Juncus bufonius	11519
Juncus effusus	11525
Juniperus communis	5741
Linaria aeruginea subsp. nevadensis	9943
Lotus corniculatus subsp. glacialis	106378
Luzula	11555
Luzula campestris	11557
Luzula spicata	11561
Meum athamanticum	27774
Montia fontana	6323
Myosotis minutiflora	9454
Nardus stricta	29746
Parnassia palustris	29748
Paronychia polygonifolia	6349
Phleum brachystachyum subsp. abbreviatum	104846
Pinguicula nevadensis	10164
Plantago nivalis	9819
Poa	11710
Poa bulbosa	11713
Poa supina	11723
Poaceae	1911
Potentilla nevadensis	7679
Radiola linoides	8776
Ranunculus	5820
Ranunculus acetosellifolius	5821
Ranunculus angustifolius var. uniflorus	5825
Ranunculus demissus	5838
Rumex	6773
Sagina saginoides	6567
Scorzoneroides	113237
Scorzoneroides microcephala	10889
Scorzoneroides nevadensis	10884
Sedum	29514
Sedum amplexicaule	29515
Sedum brevifolium	17845
Silene rupestris	6650
Spergularia rubra	6406
Stellaria alsine	6506
Thlaspi nevadense	7486
Trifolium	8015
Trifolium pratense	8048
Trifolium repens	8049
Vaccinium uliginosum	27778
Veronica	10070
Veronica arvensis	10074
Veronica nevadensis	106603
Viola	7170
Viola crassiuscula	7181
Viola palustris	7189
Viola parvula	7190
