"UTM_X";"UTM_Y";"ID_PARCELA";"PARCELA";"long";"lat"
466931;4103607;58;"Cotaalta_V1";-3.37204214476301;37.0781536757841
466905;4103595;59;"Cotaalta_V2";-3.37233412269494;37.0780445884537
466907;4103572;60;"Cotaalta_V3";-3.37231060846281;37.0778373343209
466947;4103610;25;"Cotaalta1";-3.37186227259455;37.0781812826425
466858;4103696;35;"Cotaalta10";-3.37286734267203;37.0789533533644
466928;4103551;26;"Cotaalta2";-3.37207342890155;37.0776487791611
466910;4103612;27;"Cotaalta3";-3.37227862067576;37.0781980050662
466845;4103702;28;"Cotaalta4";-3.37301386259465;37.0790069781907
466834;4103730;29;"Cotaalta5";-3.37313885378575;37.0792589842104
466928;4103539;30;"Cotaalta6";-3.37207290034057;37.0775406097091
466902;4103573;31;"Cotaalta7";-3.3723669036322;37.0778461718537
466909;4103580;32;"Cotaalta8";-3.37228846060896;37.0779095179112
466873;4103699;33;"Cotaalta9";-3.37269871931292;37.0789809261274
466228;4106626;57;"Cotabaja_V1";-3.38008696241632;37.1053421448929
466213;4106616;64;"Cotabaja_V2";-3.38025532591875;37.1052514629421
466198;4106602;65;"Cotabaja_V3";-3.38042350869766;37.1051247244717
466231;4106643;1;"Cotabaja1";-3.38005396522046;37.1054954923093
466185;4106624;10;"Cotabaja10";-3.38057080598508;37.1053225645334
466251;4106613;2;"Cotabaja2";-3.37982752898001;37.1052257914191
466237;4106623;3;"Cotabaja3";-3.37998553886331;37.1053154273145
466224;4106620;4;"Cotabaja4";-3.3801317092366;37.1052879161612
466227;4106591;5;"Cotabaja5";-3.38009664023239;37.1050266163445
466211;4106610;6;"Cotabaja6";-3.380277564061;37.1051973063355
466207;4106591;7;"Cotabaja7";-3.38032172477509;37.1050258946144
466174;4106596;8;"Cotabaja8";-3.38069333981318;37.1050697731769
466186;4106603;9;"Cotabaja9";-3.3805586046895;37.1051333051819
466754;4104727;61;"Cotamedia_V1";-3.37408304691055;37.0882432164771
466849;4104742;62;"Cotamedia_V2";-3.37301479290599;37.0883817949002
466856;4104742;63;"Cotamedia_V3";-3.37293603048072;37.0883820426053
466770;4104573;11;"Cotamedia1";-3.37389619990305;37.0868556121947
466560;4104943;20;"Cotamedia10";-3.37627551212127;37.0901833564324
466561;4104943;21;"Cotamedia11";-3.37626426008416;37.0901833921329
466512;4105013;22;"Cotamedia12";-3.37681873392318;37.090812628305
466512;4105013;23;"Cotamedia13";-3.37681873392318;37.090812628305
466527;4105015;24;"Cotamedia14";-3.3766500411994;37.0908311926732
466758;4104710;12;"Cotamedia2";-3.37403728686137;37.0880901186854
466762;4104728;13;"Cotamedia3";-3.37399307717613;37.088252514477
466780;4104728;14;"Cotamedia4";-3.3737905455901;37.0882531529961
466781;4104727;15;"Cotamedia5";-3.37377924956933;37.0882441743562
466847;4104728;16;"Cotamedia6";-3.3730366779638;37.0882555266664
466844;4104727;17;"Cotamedia7";-3.37307038905068;37.0882464063814
466850;4104727;18;"Cotamedia8";-3.37300287852103;37.0882466187342
466551;4104942;19;"Cotamedia9";-3.37637673587782;37.0901740209826
466564;4105030;38;"RZ_1";-3.37623438069923;37.0909677256609
466839;4104726;49;"RZ_10";-3.37312660363636;37.0882372152876
466843;4104726;50;"RZ_11";-3.37308159662239;37.0882373568818
466846;4104729;52;"RZ_12";-3.37304797389928;37.0882645053774
466849;4104732;53;"RZ_13";-3.37301435115218;37.0882916538636
466759;4104700;54;"RZ_14";-3.37402559218412;37.0880000131412
466761;4104676;55;"RZ_15";-3.37400202574953;37.0877837456308
466763;4104606;56;"RZ_16";-3.37397642221336;37.0871528293158
466509;4105007;39;"RZ_2";-3.37685222250836;37.0907584364652
466519;4105007;40;"RZ_3";-3.37673970129366;37.0907587939738
466524;4105007;41;"RZ_3 BIS";-3.37668344068556;37.0907589726881
466531;4105009;42;"RZ_4";-3.37660476504234;37.0907772510358
466534;4105017;43;"RZ_5";-3.37657136547346;37.090849470999
466769;4104728;44;"RZ_6";-3.37391431489343;37.0882527628311
466768;4104720;45;"RZ_7";-3.37392521238374;37.0881806145319
466772;4104720;46;"RZ_7 BIS";-3.37388020540734;37.0881807564289
466767;4104711;47;"RZ_8";-3.37393606556984;37.0880994521278
466837;4104728;48;"RZ_9";-3.37314919552557;37.0882551726915
