"ScientificName";"CuentaDeDateLastModified";"Family"
"Agrostis canina L. subsp. granatensis Romero García, Blanca & C.Morales";208;"Poaceae"
"Agrostis L.";19;"Poaceae"
"Agrostis nevadensis Boiss.";261;"Poaceae"
"Anthericum baeticum Steud.";5;"Asparagaceae"
"Arenaria serpyllifolia Guss.";15;"Caryophyllaceae"
"Arenaria tetraquetra L.";26;"Caryophyllaceae"
"Boraginaceae Juss.";1;"Boraginaceae"
"Botrychium lunaria (L.) Sw.";63;"Ophioglossaceae"
"Bromus L.";2;"Poaceae"
"Campanula herminii Hoffmanns. & Link";41;"Campanulaceae"
"Carex capillaris L.";49;"Cyperaceae"
"Carex caryophyllea Latour.";192;"Cyperaceae"
"Carex echinata Murray";248;"Cyperaceae"
"Carex L.";102;"Cyperaceae"
"Carex lepidocarpa Tausch";3;"Cyperaceae"
"Carex leporina Pall. ex Kunth";14;"Cyperaceae"
"Carex nevadensis Boiss. & Reut.";482;"Cyperaceae"
"Carex nigra (L.) Reichard";734;"Cyperaceae"
"Cerastium alpinum L. subsp. aquaticum (Boiss.) Mart.Parras & Molero Mesa";67;"Caryophyllaceae"
"Cerastium cerastoides (L.) Britton";50;"Caryophyllaceae"
"Cerastium L.";7;"Caryophyllaceae"
"Cirsium acaule (L.) F.H.Wigg. subsp. gregarium (Boiss. ex DC.) Werner";1;"Asteraceae"
"Dactylis glomerata L. var. juncinella (Bory) Boiss.";2;"Poaceae"
"Draba lutescens Coss.";1;"Brassicaceae"
"Eleocharis quinqueflora (Hartmann) O.Schwarz";500;"Cyperaceae"
"Epilobium L.";1;"Onagraceae"
"Erophila verna (L.) Chevall.";1;"Brassicaceae"
"Eryngium glaciale Boiss.";21;"Apiaceae"
"Eryngium L.";5;"Apiaceae"
"Euphrasia willkommii Freyn";712;"Scrophulariaceae"
"Festuca frigida Hack.";4;"Poaceae"
"Festuca iberica (Hack.) Patzke";491;"Poaceae"
"Festuca L.";30;"Poaceae"
"Gagea Salisb.";8;"Liliaceae"
"Galium L.";23;"Rubiaceae"
"Galium nevadense Boiss. & Reut.";3;"Rubiaceae"
"Gentiana alpina Adams ex Hoffm.";40;"Gentianaceae"
"Gentiana boryi Boiss.";407;"Gentianaceae"
"Gentiana L.";14;"Gentianaceae"
"Gentiana pneumonanthe L. subsp. depressa (Boiss.) Rivas Mart., A.Asensi, Molero Mesa & F.Valle";227;"Gentianaceae"
"Gentiana sierrae Briq.";280;"Gentianaceae"
"Gentianella tenella (Rottb.) Börner";2;"Gentianaceae"
"Herniaria boissieri J.Gay";22;"Caryophyllaceae"
"Juncus articulatus L.";156;"Juncaceae"
"Juncus bufonius L.";57;"Juncaceae"
"Juncus effusus Pollich";1;"Juncaceae"
"Juncus L.";6;"Juncaceae"
"Juniperus communis Thunb.";2;"Cupressaceae"
"Linaria aeruginea (Gouan) Cav. subsp. nevadensis (Boiss.) D.A.Sutton";10;"Scrophulariaceae"
"Lotus corniculatus L. subsp. glacialis (Boiss.) Valdés";604;"Fabaceae"
"Luzula campestris Sol.";126;"Juncaceae"
"Luzula DC.";32;"Juncaceae"
"Luzula spicata Puccin.";19;"Juncaceae"
"Meum athamanticum Garsault";5;"Apiaceae"
"Montia fontana L.";10;"Portulacaceae"
"Myosotis minutiflora Boiss. & Reut.";8;"Boraginaceae"
"Nardus stricta L.";1030;"Poaceae"
"Parnassia palustris L.";209;"Celastraceae"
"Paronychia polygonifolia DC.";49;"Caryophyllaceae"
"Phleum brachystachyum (Salis) Gamisans, Romero García & C.Morales subsp. abbreviatum (Boiss.) Gamisans, Romero García & C.Morales";66;"Poaceae"
"Pinguicula nevadensis H.Lindb.";263;"Lentibulariaceae"
"Plantago nivalis Jord.";321;"Plantaginaceae"
"Poa bulbosa L.";1;"Poaceae"
"Poa L.";12;"Poaceae"
"Poa supina Schrad.";1;"Poaceae"
"Poaceae Barnhart";22;"Poaceae"
"Potentilla nevadensis Boiss.";3;"Rosaceae"
"Radiola linoides Roth";11;"Linaceae"
"Ranunculus acetosellifolius Boiss.";38;"Ranunculaceae"
"Ranunculus angustifolius DC. subsp. uniflorus (Boiss.) Molero Mesa & Pérez Raya";287;"Ranunculaceae"
"Ranunculus demissus Orphan. ex Nyman";121;"Ranunculaceae"
"Ranunculus L.";14;"Ranunculaceae"
"Rumex L.";2;"Polygonaceae"
"Sagina saginoides (L.) Britton";131;"Caryophyllaceae"
"Scorzoneroides";585;"Asteraceae"
"Scorzoneroides microcephala (DC.) Holub";204;"Asteraceae"
"Scorzoneroides nevadensis (Lange) Greuter";201;"Asteraceae"
"Sedum amplexicaule DC.";1;"Crassulaceae"
"Sedum brevifolium DC.";1;"Crassulaceae"
"Sedum L";15;"Crassulaceae"
"Silene rupestris Sibth. & Sm.";26;"Caryophyllaceae"
"Spergularia rubra (L.) J.Presl & C.Presl";17;"Caryophyllaceae"
"Stellaria alsine Grimm";3;"Caryophyllaceae"
"Thlaspi nevadense Boiss. & Reut.";1;"Brassicaceae"
"Trifolium L.";5;"Fabaceae"
"Trifolium pratense L.";278;"Fabaceae"
"Trifolium repens L.";303;"Fabaceae"
"Vaccinium uliginosum L.";103;"Ericaceae"
"Veronica arvensis Thunb.";7;"Scrophulariaceae"
"Veronica L.";7;"Scrophulariaceae"
"Veronica nevadensis H.Lindb.";58;"Scrophulariaceae"
"Viola crassiuscula Bory";2;"Violaceae"
"Viola L.";3;"Violaceae"
"Viola palustris L.";179;"Violaceae"
"Viola parvula Tineo";5;"Violaceae"
